Image,Format,PSNR,SSIM,Original Size (KB),Compressed Size (KB),Compression Time (s)
00000.png,JPEG,30.30645676651709,0.8182566357056164,34.2041015625,2.5927734375,0.0009875297546386719
00001.png,JPEG,31.234598870771165,0.8723948230124293,33.05859375,2.728515625,0.0010480880737304688
00002.png,JPEG,30.474852565988403,0.8497685830398728,34.2919921875,2.763671875,0.0009953975677490234
00003.png,JPEG,30.644570760991016,0.8716887219107275,32.0322265625,2.650390625,0.0009992122650146484
00004.png,JPEG,29.800295575637872,0.8272091340919715,33.201171875,2.8779296875,0.0009975433349609375
00005.png,JPEG,31.50578072600009,0.8431997967708008,31.923828125,2.4814453125,0.0
00006.png,JPEG,28.65791984359837,0.8043846842706025,33.9326171875,2.998046875,0.0009968280792236328
00007.png,JPEG,28.2587689181062,0.8401000519506979,36.69921875,3.333984375,0.0009951591491699219
00008.png,JPEG,29.001745215833207,0.82020746123108,34.626953125,3.0322265625,0.0
00009.png,JPEG,28.071397319501536,0.8056744849580264,36.83984375,3.1630859375,0.0
00010.png,JPEG,31.503599866723107,0.8700034632573194,30.8125,2.490234375,0.0
00011.png,JPEG,29.91892477717894,0.8419742567856264,30.7216796875,3.22265625,0.0010001659393310547
00012.png,JPEG,33.29062777633305,0.8758732223431313,26.326171875,2.037109375,0.0009987354278564453
00013.png,JPEG,29.39316707562792,0.82433078243126,33.419921875,2.7607421875,0.0
00014.png,JPEG,31.442434487453973,0.8731407713705185,28.4619140625,2.2939453125,0.001001119613647461
00015.png,JPEG,29.507072310497584,0.8008657438522125,35.556640625,2.8671875,0.0
00016.png,JPEG,30.0926790475858,0.8288801873787367,33.9697265625,2.8955078125,0.0
00017.png,JPEG,31.37741381561291,0.8611901070518395,29.76171875,2.49609375,0.0
00018.png,JPEG,28.8987900473831,0.8077116843407014,34.08203125,3.05078125,0.0010001659393310547
00019.png,JPEG,29.866198580488096,0.8398550750932016,29.9228515625,2.529296875,0.0
00020.png,JPEG,30.166976333618013,0.8296414919224474,21.3984375,2.400390625,0.0
00021.png,JPEG,28.40104715525788,0.8310371665387383,33.4443359375,2.779296875,0.0009987354278564453
00022.png,JPEG,29.33481753671345,0.8312280784020786,34.66015625,2.8212890625,0.0
00023.png,JPEG,31.361342154138157,0.8785972827199551,28.6123046875,2.3720703125,0.0
00024.png,JPEG,31.053201712258264,0.8665640163990304,29.83984375,2.533203125,0.0
00025.png,JPEG,28.070219116110202,0.8323594720592182,34.1142578125,3.1552734375,0.001001119613647461
00026.png,JPEG,28.136756793379934,0.8605606728357061,33.4775390625,3.115234375,0.0
00027.png,JPEG,28.245094114922725,0.7917293202116072,32.57421875,2.8701171875,0.0009152889251708984
00028.png,JPEG,29.66407494426127,0.8638447641951045,31.794921875,2.8408203125,0.0009999275207519531
00029.png,JPEG,31.9585508667396,0.8361714991772207,30.6220703125,2.1689453125,0.00101470947265625
00030.png,JPEG,29.354791355753314,0.8356067742423332,34.1259765625,3.126953125,0.0009210109710693359
